"corpus","preloaded/pttenten20_fl5"
"subcorpus","-"
"concordance size","145"
"query","Query:[lemma=""as|os|te|nos|vos|lhes""] [tag=""V.*""] [lemma=""para""][tag=""V.N.*""] within <doc (genre=""blog"") & (tld=""pt"") />"
"Reference","Left","KWIC","Right"
"anossavida.pt","de fazeres muito bem as contas ao nível de vida do mesmo. </s><s> Um salário mais alto do que em Portugal pode não significar que","te dê para pagares","as contas todas ao fim do mês. </s><s> Boa sorte! </s><s> Tal como foi dito anteriormente tens que balançar tudo. </s><s> Falas na Suiça. </s><s> Eu estou"
"anossavida.pt","que estão os dois reformados e nunca saem de casa... Ligam todos os dias ao meu marido, moram a 5min de nós mas nunca","nos convidam para jantar","ou almoçar ou seja o que for. </s><s> E claro que também não vêm cá a casa... (Mas a verdade é que eu também não os convido muito..."
"anossavida.pt","fui como faço com tudo nesta porcaria de vida: ""ai não sabes, tens de experimentar"" ""não podes ser fechado"" ""tens de","te esforçar para gostares","das coisas"" ""és é preguiçoso"" sim usei o corpo banalmente (atenção não cobrei nem paguei nada, era o mais que faltava!!)"
"anossavida.pt",": 02.10.2007 </s><s> Olá amigas quero vos fazer 1 pedido,uma amiga minha esta a concorrer ao festival da canção,e gostava de","vos pedir para votarem","nela. </s><s> Para isso basta irem ao site da RTP http://ww1.rtp.pt/wportal/sites/tv/festival_cancao09/votacao.php e"
"anossavida.pt","<s> Se isso se tornou em bullying, lamento, pois se algo não está a funcionar mais vale seguir em frente </s><s> Por exemplo se alguém","te pedisse para conversar","contigo em privado, era bullying? </s><s> O que separa a intenção de uma simples conversa amigável de uma invasão? </s><s> O facto de uma"
"anossavida.pt","é mais forte que eu, eu aceito tudo!! </s><s> Tem uma conversa séria com ela, diz-lhe que quando quizer oferecer alguma coisa que","te convide para ir","com ela ou que compre em sitios que depois dê para trocar caso não gostes, e pede a ele que fale com ela, é sempre diferente"
"anossavida.pt","de cá vir alertar. </s><s> No entanto, depois do teu comentário e dos teus receios, não poderia deixar de te dar uma força e de","te dizer para estares","atenta e fazeres todos os exames possíveis. </s><s> Vai tudo correr bem e, quem sabe, se te tornas mais uma voz corrente a dizer:"
"anossavida.pt","vezes a minha mãe. </s><s> Obrigada Catarina. </s><s> Vou tentar saber se ele dá consultas em algum privado, senão já sei que temos de","nos preparar para esperar","um bom tempo por uma consulta... </s><s> A experiência foi excelente e já recomendei imensa gente para lá ir e todas as pessoas"
"anossavida.pt","e vou andando com a frigideira de vem quanto a volta para elas virarem. ficam divinais. </s><s> Icas , por instantes pensei que","te pendurarias para jantar","..."" Se não as quiseres comer sozinhas..."" Lol. </s><s> Obrigado a todas, já fiquei com umas ideias para o fim de semana Bjos </s><s> lha,"
"anossavida.pt","dizer-te para acabares com o teu namorado, mas quando a outra pessoa não nos aceita como somos, quando nem hipoteses","te dá para chegarem","a um meio termo, acho que será altura de pensares no futuro e não tenhas medo e pensar que vais ficar sozinha, porque se ele"
"anossavida.pt","novamente! </s><s> Beijinhos e já agora queremos ver fotos do casório!! </s><s> ... acho perfeitamente normal haver alturas em que só","nos dá para enfardar",". </s><s> A mim acontece isso, volta e meia, e não preciso ter ansiedade relacionada com gravidez (nem nada lá perto). </s><s> Basta..."
"anossavida.pt",". </s><s> Imagine as emoções, o que diria e o que faria. </s><s> Quando visualizamos algo, é criado um novo caminho neuronal, que","nos prepara para agirmos","da forma como visualizámos - pelo que, mesmo sem fazer algo na realidade, já preparou o seu caminho para o sucesso! </s><s> Novo"
"anossavida.pt","um part time que foi a única coisa que arranjou, até agora. </s><s> Não sabemos se podemos abrir um negócio ou onde teríamos que","nos deslocar para obter","informações. </s><s> Alguém me sabe dizer? </s><s> Novo Registo </s><s> Jogo de Teste: quem é da Escola de monstros você gosta? </s><s> Teste de Jogo:"
"anossavida.pt",". </s><s> Nenhum de nós merece isso. </s><s> Nem que seja pela pessoa que é nosso marido, que nós amamos e que supostamente nos ama. </s><s> Não","te mudes para sobreviveres","à situação por que esse preço é tão alto para pagar. </s><s> Olha para ti! </s><s> Segue em frente! </s><s> Confronta o teu marido com a situação em"
"anossavida.pt","ao teu namorado, num dia de calma, é se tu és a mulher que ele quer ao teu lado porque lhe fazes companhia, ou se ele","te quer para seres","mesmo mulher dele, por te amar e querer fazer-te feliz. diz-lhe que sentes que ele não mostra o amor dele por ti, que"
"anossavida.pt","pequeno almoço mas não te vão contratar só para trabalhares das 9h às 11h/12h. </s><s> A que horas acabam às tuas aulas? </s><s> Podes","te candidatar para trabalhar","de noite, fazer jantar das 19h às 23h/00h Ou fazer fecho que é sair à 01h/02h da manhã. </s><s> Tens ainda os Mcdonalds que ficam"
"anossavida.pt",", se nada tivesse resultado, estaria agora a postos para tentar fazer Reiki e ir a um bom homeopata. </s><s> E CAT C, é isso que","te aconselho para aumentares","o teu sistema imunitário (ou acordá-lo). </s><s> Vai a um bom homeopata! </s><s> As restantes meninas, coragem. </s><s> Outra coisa"
"anossavida.pt","a correr ao sítio onde queres que ele faça. </s><s> Depois de fazer, recompensa-o. </s><s> Se fizeres sempre isso, ele vai acabar por","te pedir para ir","lá fora sempre que estiver aflito. </s><s> Outra coisa, não adianta bater no animal se já tiver passado muito tempo de ele ter"
"anossavida.pt","que arranjaram trabalho. </s><s> Que Deus vos guie para que ele nunca vos falte. </s><s> E a nós que continuamos à procura, que Deus","nos guie para encontrarmos","um também para nós e que, para além de termos pessoas que nos entendam mais, também nos dê paciência para esperarmos. </s>"
"anossavida.pt",", antes de mais acho que nunca devemos esperar que o outro mude por várias razões: 1. </s><s> Nós próprias não queremos que alguém","nos peça para mudar","algo que nos define. </s><s> Queremos ser amadas como somos e temos esse direito. </s><s> O mesmo devemos fazer pelos outros. </s><s> Não falo de"
"anossavida.pt","""surpresa""...até pode ser que ele aí deixe de ter receio de mostrar que gosta de pornografia, e não ficas a espera que ele","te peça para veres","um filme pornográfico contigo, porque já deu para perceber que ele não o irá fazer... Na minha opinião é perfeitamente"
"anossavida.pt",". </s><s> Isto porque as mulheres são feitas dos mais variados tamanhos e feitios e para tirar o melhor partido daquilo que a moda","nos tem para oferecer",", há que conhecer bem o seu corpo e quais as roupas que lhe favorecem... assim, pode arrasar cada vez que sai de casa! </s><s> Corpo"
"anossavida.pt","a ela. </s><s> Devo-lhe muito. </s><s> Recomendo com total confiança. </s><s> Nem sempre diz o que queremos ouvir mas o que diz e o espaço que","nos permite para crescer","e mudar, ajuda mesmo! </s><s> É para mim uma voz segura, tranquila, firme, e muito experiente. </s><s> Para a contactar usei o telemóvel"
"anossavida.pt","mastercard. </s><s> Tens de colocar a tua morada exacta e um numero de telefone valido. </s><s> Normalmente tiram 1€ da tua conta quando","te inscreves para ver","se o cartão é valido, mas depois devolvem. é do mais seguro, se queres fazer compras no estrangeiro é do melhor que ha,"
"anossavida.pt","e madeiras prefiro a Americana. </s><s> No vidro fosco tb fica bem, até é mais fácil espalhar. </s><s> Eu concordo com a menia que","te disse para comprares","um pedaço de vidro para experimentar, ou até num copo de iogurte ou conserva. </s><s> Quando eu dizia abstrato era misturas as"
"anossavida.pt","têm os teus dados é normal isso ter acontecido.. como já foste convocada pelo tribunal tens de comparecer, mas quando","te chamarem para testemunhar",", podes dizer ao juiz que não queres falar. o juiz não te pode obrigar a falar.. basta que digas que não queres, mas ao"
"anossavida.pt",", e ela pode ter várias causas, nomeadamente as que a Catarina mencionou. </s><s> Antes de mais deverias pedir ajuda à médica que","te diagnosticou para descobrires","as causas da retenção. </s><s> Ataca a raiz do problema, não os sintomas... </s><s> Entretanto, óptimos conselhos (e sem efeitos"
"anossavida.pt","..mas secalhar até resulta. </s><s> Já vi k tb tens o famoso dilema do natal/sogros...vais ver k xega a noite e ele n tem coragem d","te deixar para ir","passar com eles </s><s> Tem calma! </s><s> Foi um acidente! </s><s> Claro que se pudesses terias evitado portanto agora acalma-te e não te"
"anossavida.pt","preocupacao ou chatisse que te deixam apreensiva. </s><s> Mas sabes a primeira opacao e consultar o medico, como as meninas","te disseram para despistar","qualquer problema do foro medico....depois minha linda e libertar essa mente. </s><s> Sabes que a nossa mente e normalmente a"
"anossavida.pt","seja aqui, seja em cartas deitadas ao fogo depois, seja com um desporto, mas deixa-a ir porque é preciso deixar sair o que","nos magoa para deixar","entrar o que nos alegra. </s><s> Quanto ao que dizes, sim é verdade, nos momentos em que batemos no fundo do poço parece que todos"
"anossavida.pt",", através de pequenos sacrifícios, durante tanto tempo. </s><s> É assim que as coisas se conseguem (é ou não é, tu que tanto","te sacrificas para teres","uma festinha bonita?), não é esperar que as coisas caiam do céu e depois logo se vê! </s><s> Mais, estás a contribuir para que se"
"anossavida.pt","nela... </s><s> Ou podias nem ter dito nada, que assim ela ficava a pensar se te tinha acontecido alguma coisa, e acabava por","te procurar para saber","se estavas bem... E depois só tinhas de dizer ""Desculpa... Estava tão cansado que adormeci mal cheguei a casa.... Mas"
"anossavida.pt","a tentar organizar passeios fotográficos em sintra ou lisboa Nada de workshops pagos. </s><s> São passeios simples, onde","nos juntamos para conhecer","e fotografar Alguém daqui junta-se a nós? </s><s> Bruna </s><s> Encontrei este tópico quando fazia uma pesquisa em tudo idêntica à sua"
"anossavida.pt","sincera com ele. </s><s> Veja se vale a pena mesmo manter o relacionamento, se não estiver somando, avalie. </s><s> Qualquer coisa","nos chame para conversar","</s><s> Estás a fazer uma tempestade num copo de água.. </s><s> Eu tive uma relação toxica, e em boa hora saí dela. </s><s> Mas de tempos a tempos"
"anossavida.pt",", por exemplo o teu mardi consguiu arranjar emprego, o que vos punha de pá atrás para comecarem os treinos, ele agora já","te pediu para terem","um bébe logo toca a animar e treinar muito. </s><s> O corpo pois está-nos sempre a dar stresses, mas sabes que os nossos olhos"
"anossavida.pt","de ele nem ser o meu ""tipo de homem"" (se é que isso existe...). </s><s> A questão é que depois dessa aproximação continuamos a","nos encontrar para tomar","café ou simplesmente para estarmos no carro a ver o mar... Ele não é muito de sair mas nunca me recusou um convite e até faz"
